Attrition,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction
Yes,Single,1675,26820,1,Y,Yes,19,3,4
No,Married,2523,19299,0,Y,No,14,3,3
No,Married,6567,5549,1,Y,No,14,3,3
No,Single,4739,16090,4,Y,No,12,3,4
No,Single,9208,6645,4,Y,No,11,3,4
Yes,Married,4559,24788,3,Y,Yes,11,3,3
No,Divorced,8189,21196,3,Y,Yes,13,3,3
No,Married,2942,8916,1,Y,No,23,4,4
No,Divorced,4941,2819,6,Y,No,20,4,4
Yes,Single,10650,25150,2,Y,No,15,3,4
No,Married,5902,14590,4,Y,No,14,3,3
No,Married,8639,24835,2,Y,No,18,3,4
No,Married,6347,13982,0,Y,Yes,19,3,4
Yes,Single,4200,10224,7,Y,No,22,4,1
No,Single,3452,9752,5,Y,No,13,3,2
No,Single,4317,2302,3,Y,Yes,20,4,2
No,Single,2632,23910,1,Y,No,14,3,3
No,Divorced,4668,22812,0,Y,No,17,3,4
No,Divorced,3204,10415,5,Y,No,14,3,4
No,Single,2720,11162,0,Y,No,13,3,4
No,Divorced,17181,12888,4,Y,No,13,3,2
No,Married,2238,6961,2,Y,No,21,4,4
No,Single,1483,16102,1,Y,No,14,3,4
No,Divorced,5605,8504,1,Y,No,11,3,1
No,Married,7295,11439,1,Y,No,13,3,1
No,Married,2306,16047,2,Y,Yes,20,4,4
No,Divorced,2348,10901,8,Y,No,18,3,3
No,Single,8998,15589,1,Y,No,14,3,4
No,Married,4319,26283,1,Y,No,13,3,1
No,Married,6132,13983,2,Y,No,17,3,3
No,Married,3346,11873,4,Y,Yes,20,4,2
No,Married,10855,8552,7,Y,No,11,3,1
No,Married,2231,11314,6,Y,No,18,3,4
No,Married,2323,11992,1,Y,No,24,4,1
No,Divorced,2024,5970,6,Y,No,18,3,4
No,Married,2713,6672,1,Y,No,11,3,3
No,Divorced,9439,23402,3,Y,Yes,16,3,2
No,Divorced,2566,25326,1,Y,Yes,15,3,4
No,Single,19926,17053,3,Y,No,15,3,2
No,Divorced,2451,4609,4,Y,No,12,3,1
No,Married,9419,8053,2,Y,No,12,3,3
No,Single,8686,12930,4,Y,No,22,4,3
No,Single,3038,12430,3,Y,No,20,4,1
No,Married,3058,13364,0,Y,Yes,16,3,4
Yes,Single,2325,20989,0,Y,No,21,4,1
No,Single,2088,15062,4,Y,No,12,3,3
No,Divorced,3072,11012,1,Y,No,11,3,3
No,Divorced,5006,6319,4,Y,Yes,11,3,1
No,Divorced,4257,13939,4,Y,Yes,18,3,3
No,Single,2500,10515,0,Y,No,14,3,1
Yes,Single,1102,9241,1,Y,No,22,4,3
No,Divorced,10453,2137,1,Y,No,25,4,3
No,Single,2288,6319,1,Y,No,12,3,3
No,Married,3929,6984,8,Y,Yes,23,4,3
No,Single,2311,5711,2,Y,No,15,3,4
Yes,Single,3140,21728,1,Y,Yes,22,4,4
No,Married,3690,3425,2,Y,No,15,3,4
No,Divorced,4450,26250,1,Y,No,11,3,3
No,Married,2756,4673,1,Y,No,13,3,4
No,Married,19033,6499,1,Y,No,14,3,2
No,Single,18722,13339,8,Y,No,11,3,4
No,Married,9547,14074,1,Y,No,17,3,3
No,Single,13734,7192,3,Y,No,18,3,3
No,Married,19999,5678,0,Y,No,14,3,1
No,Single,2279,11781,1,Y,No,16,3,4
Yes,Married,5916,15497,3,Y,Yes,13,3,1
No,Divorced,2089,5228,4,Y,No,14,3,4
No,Married,16792,20462,9,Y,No,23,4,4
No,Married,3564,22977,1,Y,Yes,12,3,1
No,Single,4425,15986,5,Y,No,11,3,4
No,Divorced,5265,16439,2,Y,No,16,3,2
No,Married,6553,7259,9,Y,No,14,3,2
No,Married,6261,4185,3,Y,No,18,3,1
No,Married,4298,9679,5,Y,No,19,3,3
No,Divorced,6804,23793,1,Y,Yes,15,3,1
No,Divorced,3815,5972,1,Y,Yes,17,3,4
No,Married,2741,16523,8,Y,Yes,15,3,3
Yes,Married,6673,11354,7,Y,Yes,19,3,2
Yes,Married,7639,24525,1,Y,No,22,4,4
No,Divorced,2328,12392,1,Y,Yes,16,3,1
No,Single,2153,7703,1,Y,No,13,3,1
No,Married,4876,14242,9,Y,No,14,3,4
No,Divorced,9396,12368,7,Y,No,16,3,3
Yes,Married,10400,25812,1,Y,No,11,3,3
No,Single,8474,20925,1,Y,No,22,4,3
No,Single,9981,12916,1,Y,No,14,3,4
No,Married,12490,15736,5,Y,No,16,3,4
Yes,Single,2657,8556,5,Y,Yes,11,3,3
No,Single,13591,14674,3,Y,Yes,18,3,3
Yes,Single,6696,22967,5,Y,No,15,3,3
Yes,Single,2058,19757,0,Y,No,14,3,4
No,Single,8865,16840,6,Y,No,12,3,4
No,Married,5940,17011,2,Y,No,14,3,4
No,Single,5914,9945,8,Y,No,16,3,4
No,Married,2622,13248,6,Y,No,21,4,4
No,Divorced,12185,10056,1,Y,Yes,14,3,3
No,Divorced,10609,9647,0,Y,No,12,3,3
No,Married,4345,4381,0,Y,No,12,3,4
No,Married,2177,8456,3,Y,No,17,3,1
No,Divorced,2793,2539,4,Y,No,17,3,3
No,Married,7918,6599,1,Y,No,14,3,4
No,Single,8789,9096,1,Y,No,14,3,1
Yes,Single,2389,14961,1,Y,Yes,13,3,3
No,Single,3212,3300,7,Y,No,15,3,2
No,Married,19232,4933,1,Y,No,11,3,4
No,Married,2267,25657,8,Y,No,17,3,4
No,Divorced,19517,24118,3,Y,No,11,3,3
Yes,Married,2436,22149,5,Y,Yes,13,3,3
No,Married,16064,7744,5,Y,Yes,22,4,3
Yes,Married,2707,21509,7,Y,No,20,4,1
No,Single,19068,21030,1,Y,Yes,18,3,4
No,Married,3931,20990,2,Y,No,11,3,1
Yes,Single,3730,9571,0,Y,Yes,14,3,4
No,Divorced,2232,15417,7,Y,No,14,3,3
No,Married,4465,12069,0,Y,No,18,3,1
No,Divorced,3072,19877,2,Y,No,16,3,1
No,Divorced,3319,24447,1,Y,No,17,3,1
No,Married,19202,15970,0,Y,No,11,3,3
No,Divorced,13675,13523,9,Y,No,12,3,1
No,Married,2911,14776,1,Y,No,13,3,3
No,Married,5957,23687,6,Y,No,13,3,2
No,Married,3920,18697,2,Y,No,14,3,1
No,Married,6434,5118,4,Y,No,17,3,4
Yes,Divorced,10048,22573,6,Y,No,11,3,2
No,Single,10938,6420,0,Y,No,25,4,4
No,Single,2340,22673,1,Y,No,19,3,1
No,Single,6545,23016,3,Y,Yes,13,3,3
No,Divorced,6931,10732,2,Y,No,14,3,4
No,Married,4898,7505,0,Y,No,12,3,4
No,Divorced,2593,8007,0,Y,Yes,11,3,3
No,Divorced,19436,5949,0,Y,No,19,3,4
No,Married,2723,23231,1,Y,No,11,3,2
Yes,Single,3479,11652,0,Y,No,11,3,2
No,Married,2794,26062,1,Y,No,20,4,3
No,Married,5249,19682,3,Y,No,18,3,4
No,Single,2176,19737,4,Y,No,13,3,4
No,Married,16872,14977,3,Y,Yes,12,3,2
Yes,Single,3485,14935,2,Y,No,11,3,3
No,Married,6644,3687,2,Y,No,19,3,2
No,Married,5582,14408,0,Y,No,21,4,2
No,Divorced,4000,18384,1,Y,No,12,3,4
No,Married,13496,7501,0,Y,Yes,14,3,2
No,Married,3210,20251,0,Y,No,11,3,3
No,Single,19045,18938,0,Y,Yes,14,3,3
Yes,Married,11849,10268,1,Y,Yes,12,3,4
No,Married,2070,2613,1,Y,No,23,4,4
No,Married,6502,22825,4,Y,No,14,3,2
No,Single,3230,10531,1,Y,No,17,3,1
No,Divorced,13603,11677,2,Y,Yes,18,3,1
No,Divorced,11996,19100,7,Y,No,18,3,2
No,Divorced,5605,19191,1,Y,Yes,24,4,3
No,Divorced,6397,26767,1,Y,No,20,4,1
No,Divorced,19144,15815,3,Y,No,14,3,1
No,Married,17584,21016,3,Y,Yes,16,3,4
No,Married,4907,24532,1,Y,No,25,4,3
No,Single,4554,20260,1,Y,No,18,3,1
No,Married,5415,15972,3,Y,Yes,19,3,4
No,Married,4741,22722,1,Y,Yes,13,3,3
No,Single,2115,15881,1,Y,No,12,3,2
Yes,Divorced,3161,19920,3,Y,Yes,22,4,4
No,Divorced,5745,18899,9,Y,No,14,3,2
Yes,Divorced,2373,14180,2,Y,Yes,13,3,4
No,Single,3310,4488,1,Y,No,21,4,4
No,Single,18665,25594,9,Y,Yes,11,3,4
No,Single,4485,26285,4,Y,No,12,3,4
No,Divorced,2789,3909,1,Y,No,11,3,3
Yes,Single,5828,8450,1,Y,Yes,12,3,2
No,Married,2326,11411,1,Y,Yes,12,3,3
No,Married,13525,14864,5,Y,No,14,3,4
Yes,Single,1420,25233,1,Y,No,13,3,3
No,Married,8020,5100,0,Y,No,15,3,3
No,Married,3688,7122,4,Y,No,18,3,4
No,Divorced,5482,16321,5,Y,No,18,3,4
No,Single,16015,15896,1,Y,No,19,3,2
No,Single,1200,9724,1,Y,No,12,3,1
No,Single,5661,4824,0,Y,No,19,3,3
No,Married,6929,12241,4,Y,No,11,3,2
No,Divorced,9613,10942,0,Y,No,17,3,1
No,Married,5674,6927,7,Y,No,15,3,3
No,Married,5484,16985,1,Y,No,14,3,3
No,Married,12061,26707,3,Y,No,17,3,3
No,Divorced,5660,17056,2,Y,Yes,13,3,4
No,Married,4821,10077,0,Y,Yes,12,3,3
No,Married,6410,17822,3,Y,No,12,3,4
No,Divorced,5210,20308,1,Y,No,18,3,1
No,Divorced,2695,7747,0,Y,Yes,18,3,2
No,Married,11878,23364,6,Y,No,11,3,2
No,Married,17068,5355,1,Y,Yes,14,3,4
No,Single,2455,10675,0,Y,No,19,3,1
No,Single,13964,17810,7,Y,Yes,12,3,4
Yes,Married,4941,17747,2,Y,No,15,3,1
No,Single,2478,20938,1,Y,Yes,12,3,2
No,Married,5228,24624,1,Y,Yes,11,3,4
No,Single,4478,5242,1,Y,Yes,11,3,1
No,Divorced,7547,7143,4,Y,No,12,3,4
No,Single,5055,10557,7,Y,No,16,3,3
Yes,Married,3464,24737,5,Y,Yes,13,3,4
No,Married,5775,11934,1,Y,No,13,3,4
No,Married,8943,14034,1,Y,No,24,4,1
No,Married,19272,21141,1,Y,No,15,3,1
Yes,Married,5238,17778,4,Y,Yes,18,3,1
No,Single,4682,4317,3,Y,No,14,3,3
No,Married,18300,16375,4,Y,No,11,3,2
No,Divorced,5257,6227,1,Y,No,11,3,2
No,Married,6349,22107,0,Y,Yes,13,3,4
No,Single,4869,16885,3,Y,No,12,3,4
No,Married,9985,9262,8,Y,No,16,3,1
No,Married,3697,9278,9,Y,No,14,3,1
No,Married,7457,13273,2,Y,Yes,22,4,3
Yes,Married,2119,4759,1,Y,Yes,11,3,4
No,Single,3983,7621,0,Y,No,17,3,3
No,Divorced,6118,5431,1,Y,No,13,3,3
No,Married,6214,3415,1,Y,No,18,3,1
No,Divorced,6347,23177,7,Y,No,16,3,3
No,Divorced,11510,15682,0,Y,Yes,14,3,2
No,Single,7143,25713,1,Y,Yes,14,3,3
No,Divorced,8268,11866,1,Y,Yes,14,3,1
No,Single,8095,18264,0,Y,No,13,3,4
No,Divorced,2904,16092,1,Y,No,12,3,3
No,Single,6032,10110,6,Y,Yes,15,3,4
No,Single,2976,25751,3,Y,No,19,3,1
No,Single,15992,15901,2,Y,No,14,3,2
No,Married,4649,16928,1,Y,No,14,3,1
No,Divorced,2696,24017,0,Y,Yes,11,3,3
No,Married,2370,3956,1,Y,No,13,3,3
No,Married,12504,23978,3,Y,No,21,4,2
No,Divorced,5974,17001,4,Y,Yes,13,3,1
No,Married,4736,6069,7,Y,Yes,12,3,2
No,Married,5296,20156,1,Y,No,17,3,2
No,Single,6781,17078,3,Y,No,23,4,2
Yes,Single,2174,9150,1,Y,Yes,11,3,3
No,Single,6653,15276,4,Y,No,15,3,2
No,Married,9699,7246,4,Y,No,11,3,1
No,Married,6755,2967,2,Y,No,11,3,3
No,Married,2213,22495,3,Y,Yes,13,3,3
No,Single,2610,2851,1,Y,No,24,4,3
Yes,Single,2851,9150,1,Y,Yes,13,3,2
No,Married,3452,17663,6,Y,No,20,4,2
No,Married,5258,16044,2,Y,No,14,3,3
Yes,Single,9355,9558,1,Y,No,18,3,3
No,Single,10496,2755,6,Y,No,15,3,4
Yes,Married,6380,6110,2,Y,Yes,12,3,1
No,Single,2657,7551,0,Y,Yes,16,3,4
Yes,Single,2716,25422,1,Y,No,15,3,4
No,Single,2201,18168,9,Y,No,16,3,4
No,Single,6540,19394,9,Y,No,19,3,3
No,Divorced,3816,17881,1,Y,No,11,3,2
No,Single,5253,20750,1,Y,No,16,3,4
No,Single,10965,12066,8,Y,No,24,4,3
No,Married,4936,14862,4,Y,No,11,3,3
No,Married,2543,11868,4,Y,No,13,3,2
Yes,Single,5304,4652,8,Y,Yes,13,3,2
No,Single,16659,23258,2,Y,Yes,13,3,3
No,Divorced,4260,5915,1,Y,Yes,12,3,4
No,Married,2476,17434,1,Y,No,18,3,1
Yes,Single,3102,6582,0,Y,No,22,4,3
No,Married,2244,24440,1,Y,No,13,3,4
No,Married,7596,3809,1,Y,No,13,3,2
Yes,Single,2285,3427,9,Y,Yes,23,4,3
No,Divorced,3034,26914,1,Y,No,12,3,3
No,Divorced,5715,22553,7,Y,No,12,3,3
No,Divorced,2576,20490,3,Y,No,16,3,2
No,Single,4197,21123,2,Y,Yes,12,3,4
No,Divorced,14336,4345,1,Y,No,11,3,3
No,Married,3448,13436,6,Y,No,22,4,2
No,Married,19406,8509,4,Y,No,11,3,3
No,Married,6538,12740,9,Y,No,15,3,1
No,Married,4306,4156,1,Y,No,12,3,2
No,Married,2258,15238,7,Y,No,20,4,1
No,Divorced,4522,2227,4,Y,Yes,14,3,4
No,Single,4487,12090,1,Y,Yes,11,3,2
No,Married,4449,23866,3,Y,Yes,15,3,1
No,Married,2218,16193,1,Y,No,12,3,3
No,Divorced,19197,8213,1,Y,Yes,14,3,3
No,Married,13212,18256,9,Y,No,11,3,4
No,Single,6577,19558,0,Y,No,11,3,2
No,Married,8392,19566,1,Y,No,16,3,3
No,Divorced,4558,13535,1,Y,No,12,3,4
Yes,Married,4031,9396,5,Y,No,13,3,3
No,Married,7969,19609,2,Y,Yes,14,3,3
No,Married,2654,9655,3,Y,No,21,4,4
No,Married,16555,10310,2,Y,No,13,3,4
No,Divorced,4556,12932,2,Y,No,11,3,2
No,Single,6091,24793,2,Y,No,20,4,3
No,Married,19566,3854,5,Y,No,11,3,4
No,Divorced,4810,26314,2,Y,No,14,3,3
No,Married,4523,4386,0,Y,No,11,3,4
Yes,Single,3202,21972,1,Y,Yes,16,3,2
Yes,Divorced,2351,12253,0,Y,No,16,3,4
No,Married,1702,12106,1,Y,Yes,23,4,3
No,Married,18041,13022,0,Y,No,14,3,4
No,Divorced,2886,3032,1,Y,No,22,4,2
No,Married,2097,16734,4,Y,No,15,3,3
No,Married,11935,21526,1,Y,No,18,3,3
Yes,Married,2546,18300,5,Y,No,16,3,2
Yes,Single,2564,18437,1,Y,No,12,3,3
No,Married,8412,2890,0,Y,No,11,3,3
No,Divorced,14118,22102,3,Y,No,12,3,3
No,Married,17046,9314,0,Y,No,15,3,2
No,Single,2564,7181,0,Y,No,14,3,3
No,Married,10266,2845,4,Y,No,19,3,4
No,Divorced,5070,7389,5,Y,No,13,3,3
No,Married,17861,2288,6,Y,No,13,3,3
No,Single,4230,19225,0,Y,No,15,3,3
No,Single,3780,23428,7,Y,No,11,3,3
No,Divorced,2768,8416,3,Y,No,12,3,3
No,Married,9071,11563,2,Y,Yes,19,3,3
No,Divorced,10648,14394,1,Y,No,25,4,4
Yes,Married,13610,24619,7,Y,Yes,12,3,4
Yes,Divorced,3408,6705,7,Y,No,13,3,1
No,Single,2983,18398,0,Y,No,14,3,1
No,Married,7632,14295,4,Y,Yes,12,3,3
Yes,Married,9824,22908,3,Y,No,12,3,1
Yes,Divorced,9950,11533,9,Y,Yes,15,3,3
No,Married,2093,9260,4,Y,No,17,3,4
No,Single,9980,15318,1,Y,No,14,3,4
Yes,Single,3894,9129,5,Y,No,16,3,3
No,Married,4051,19658,2,Y,No,14,3,1
No,Single,16835,9873,3,Y,No,23,4,4
No,Single,6230,13430,7,Y,No,14,3,4
No,Married,4717,18659,9,Y,No,11,3,3
No,Single,13237,20364,7,Y,No,15,3,3
No,Married,3755,17872,1,Y,No,11,3,1
No,Single,6582,8346,4,Y,Yes,13,3,3
No,Married,7406,6950,1,Y,Yes,21,4,4
No,Married,4805,16177,0,Y,No,19,3,2
Yes,Divorced,2741,22808,0,Y,Yes,11,3,2
No,Divorced,4262,22645,4,Y,No,12,3,2
No,Divorced,16184,22578,4,Y,No,19,3,3
No,Divorced,11557,25291,9,Y,No,21,4,3
Yes,Single,1878,8059,1,Y,Yes,14,3,4
No,Divorced,10932,11373,3,Y,No,15,3,3
No,Single,6811,2112,2,Y,Yes,17,3,1
No,Divorced,4306,4267,5,Y,No,12,3,1
No,Single,4859,6698,1,Y,No,16,3,4
No,Single,5337,19921,1,Y,No,12,3,4
Yes,Single,2340,23213,1,Y,Yes,18,3,2
No,Single,7491,23848,4,Y,No,17,3,4
No,Married,10527,8984,5,Y,No,11,3,4
No,Married,16595,5626,7,Y,No,16,3,2
No,Divorced,8834,24666,1,Y,No,13,3,4
No,Divorced,5577,22087,3,Y,Yes,12,3,2
Yes,Married,4707,23914,8,Y,No,12,3,4
No,Married,2400,5530,0,Y,No,13,3,3
No,Married,9824,22174,3,Y,No,19,3,3
No,Married,6447,15701,6,Y,No,12,3,2
No,Divorced,19502,2125,1,Y,Yes,17,3,3
No,Married,2725,21630,1,Y,Yes,11,3,2
No,Married,6272,7428,1,Y,No,20,4,4
No,Married,2127,9100,1,Y,No,21,4,4
No,Married,18200,7999,1,Y,No,11,3,3
No,Married,2096,26376,1,Y,No,11,3,3
Yes,Married,2886,14168,1,Y,Yes,16,3,4
Yes,Married,2033,14470,1,Y,No,18,3,3
No,Married,3622,22794,1,Y,Yes,13,3,4
Yes,Divorced,4233,11512,2,Y,No,17,3,3
No,Single,3681,14004,4,Y,No,14,3,4
No,Divorced,5460,6219,4,Y,No,22,4,4
No,Divorced,2187,5013,0,Y,No,12,3,3
No,Married,9602,3010,4,Y,Yes,11,3,3
No,Single,2836,11757,1,Y,No,13,3,4
No,Married,4089,5718,1,Y,No,13,3,2
No,Divorced,16627,2671,4,Y,Yes,14,3,3
No,Single,2619,14561,3,Y,No,17,3,4
No,Divorced,5679,19627,3,Y,Yes,13,3,2
No,Married,15402,17997,7,Y,No,11,3,1
No,Single,5985,26894,4,Y,No,11,3,2
No,Divorced,2579,2912,1,Y,Yes,18,3,4
Yes,Divorced,3041,16346,0,Y,No,11,3,2
No,Single,3447,24444,1,Y,No,11,3,3
No,Married,19513,9358,4,Y,Yes,12,3,1
No,Married,2773,12145,0,Y,No,20,4,4
No,Divorced,7104,20431,0,Y,No,12,3,4
No,Married,6322,18089,1,Y,Yes,12,3,4
No,Divorced,2083,22653,1,Y,No,20,4,3
No,Single,8381,7507,7,Y,No,20,4,4
No,Married,2691,7660,1,Y,No,12,3,4
Yes,Married,4286,5630,2,Y,No,14,3,4
No,Married,2659,17759,1,Y,Yes,13,3,3
No,Married,9434,9606,1,Y,No,15,3,3
No,Married,5561,3487,1,Y,No,14,3,1
No,Single,6646,19368,1,Y,No,13,3,2
No,Divorced,7725,5335,3,Y,No,23,4,3
No,Married,10725,6729,2,Y,No,15,3,3
No,Divorced,8847,13934,2,Y,Yes,11,3,3
No,Single,2045,15174,0,Y,No,13,3,4
Yes,Single,1009,26999,1,Y,Yes,11,3,4
Yes,Single,3348,3164,1,Y,Yes,11,3,1
No,Married,1281,16900,1,Y,No,18,3,3
No,Married,2819,8544,2,Y,No,16,3,1
No,Married,4851,15678,0,Y,No,22,4,3
No,Single,4028,7791,0,Y,No,20,4,1
No,Divorced,2720,18959,1,Y,No,18,3,4
No,Married,8120,18597,3,Y,No,12,3,4
No,Divorced,4647,16673,1,Y,Yes,20,4,2
No,Single,4680,15232,3,Y,No,17,3,1
No,Married,3221,3297,1,Y,Yes,11,3,3
No,Single,8621,17654,1,Y,No,14,3,2
Yes,Single,4577,24785,9,Y,No,14,3,1
No,Single,4553,20978,1,Y,No,11,3,1
No,Single,5396,21703,1,Y,No,12,3,4
Yes,Married,6796,23452,3,Y,Yes,14,3,1
No,Single,7625,19383,0,Y,No,13,3,3
No,Married,7412,6009,1,Y,No,11,3,4
No,Single,11159,19373,3,Y,No,15,3,4
No,Single,4960,11825,2,Y,No,12,3,4
No,Married,10475,23772,5,Y,Yes,21,4,3
No,Married,14814,13514,3,Y,No,19,3,3
No,Divorced,19141,8861,3,Y,No,15,3,2
No,Single,5405,11924,8,Y,No,14,3,4
No,Divorced,8793,4809,1,Y,No,21,4,3
No,Married,19189,19562,1,Y,No,12,3,2
No,Married,3875,9983,7,Y,No,15,3,4
Yes,Single,2216,3872,7,Y,Yes,13,3,4
No,Married,11713,20335,9,Y,No,14,3,1
No,Single,7861,15397,4,Y,Yes,14,3,4
No,Single,3708,2104,2,Y,No,14,3,3
No,Divorced,13770,10225,9,Y,Yes,12,3,4
