Attrition,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
No,1,218,4,Male,57,3,1,Research Scientist,2
No,1,221,3,Male,42,3,1,Research Scientist,4
No,1,223,3,Male,83,4,3,Healthcare Representative,4
No,1,224,3,Male,79,2,1,Research Scientist,3
No,1,226,3,Female,53,3,5,Manager,2
No,1,227,1,Male,56,3,1,Research Scientist,3
No,1,228,2,Female,41,3,3,Sales Executive,4
No,1,230,1,Female,59,2,2,Sales Executive,4
No,1,231,3,Male,43,3,1,Research Scientist,3
No,1,233,3,Male,51,3,1,Research Scientist,2
Yes,1,235,3,Female,100,1,1,Sales Representative,1
No,1,238,4,Male,30,3,1,Laboratory Technician,2
No,1,239,3,Male,66,3,2,Laboratory Technician,1
No,1,240,3,Female,30,3,2,Sales Executive,1
No,1,241,3,Female,67,3,1,Research Scientist,1
No,1,242,3,Male,90,3,1,Research Scientist,4
Yes,1,243,2,Male,47,2,1,Laboratory Technician,4
No,1,244,2,Female,92,3,3,Sales Executive,1
No,1,245,3,Female,75,3,1,Laboratory Technician,4
No,1,246,3,Female,95,3,1,Research Scientist,4
No,1,247,4,Female,95,3,1,Research Scientist,2
Yes,1,248,2,Female,70,3,1,Sales Representative,2
No,1,249,3,Male,86,2,1,Laboratory Technician,3
No,1,250,4,Female,57,4,2,Manufacturing Director,1
No,1,252,4,Female,72,3,1,Research Scientist,2
No,1,253,4,Female,46,3,5,Manager,3
No,1,254,3,Male,61,4,5,Research Director,2
No,1,256,4,Male,45,2,2,Manufacturing Director,3
No,1,258,4,Female,98,3,4,Healthcare Representative,2
No,1,259,3,Male,65,2,5,Manager,3
No,1,260,4,Female,99,3,1,Research Scientist,2
Yes,1,261,2,Male,50,2,2,Manufacturing Director,3
No,1,262,4,Male,37,4,1,Research Scientist,4
No,1,264,1,Male,65,2,4,Manager,4
No,1,267,2,Male,65,4,1,Research Scientist,1
No,1,269,2,Female,37,3,2,Laboratory Technician,2
No,1,270,3,Female,36,3,2,Manufacturing Director,3
No,1,271,4,Male,88,3,2,Manufacturing Director,3
No,1,273,4,Male,54,3,2,Manufacturing Director,4
No,1,274,3,Male,60,2,2,Manufacturing Director,1
No,1,275,4,Male,92,3,2,Manufacturing Director,4
No,1,277,4,Male,43,3,1,Research Scientist,3
No,1,281,3,Male,99,3,2,Laboratory Technician,4
Yes,1,282,2,Male,70,3,2,Healthcare Representative,1
Yes,1,283,2,Female,35,3,3,Sales Executive,4
No,1,284,4,Male,60,4,1,Research Scientist,2
No,1,286,2,Female,73,3,1,Laboratory Technician,4
No,1,287,4,Male,63,2,2,Healthcare Representative,4
No,1,288,4,Male,97,3,3,Healthcare Representative,1
Yes,1,291,4,Male,32,1,3,Sales Executive,4
No,1,292,3,Male,88,2,3,Manufacturing Director,3
No,1,293,4,Female,90,3,2,Sales Executive,3
No,1,296,2,Male,81,2,3,Research Director,2
Yes,1,297,4,Female,88,3,1,Research Scientist,1
No,1,298,4,Female,75,3,3,Manager,4
Yes,1,299,3,Female,52,2,2,Sales Executive,1
Yes,1,300,3,Male,85,3,1,Research Scientist,3
No,1,302,4,Female,57,2,3,Sales Executive,4
No,1,303,4,Female,52,3,2,Sales Executive,1
No,1,304,4,Male,62,3,2,Laboratory Technician,2
No,1,305,3,Female,47,2,1,Research Scientist,2
No,1,306,2,Male,47,3,3,Research Director,4
No,1,307,1,Male,76,3,3,Sales Executive,3
No,1,308,3,Male,90,1,2,Manufacturing Director,3
No,1,309,3,Male,70,2,1,Research Scientist,4
No,1,311,1,Male,41,3,1,Sales Representative,4
No,1,312,2,Female,42,3,3,Sales Executive,4
No,1,314,3,Female,92,3,3,Sales Executive,3
Yes,1,315,3,Male,86,2,1,Research Scientist,4
No,1,316,3,Female,89,2,1,Laboratory Technician,4
No,1,319,3,Male,58,3,5,Manager,4
No,1,321,2,Male,52,3,1,Human Resources,3
No,1,323,4,Female,68,3,5,Manager,4
Yes,1,325,3,Male,58,3,1,Laboratory Technician,4
No,1,327,4,Female,80,3,4,Manager,4
Yes,1,328,1,Female,39,3,1,Laboratory Technician,1
No,1,329,1,Male,79,2,5,Manager,3
No,1,330,3,Female,56,3,1,Sales Representative,2
Yes,1,331,4,Male,62,2,1,Laboratory Technician,3
No,1,332,3,Female,96,3,1,Laboratory Technician,3
No,1,333,3,Male,100,3,2,Sales Executive,4
No,1,334,3,Male,36,3,2,Research Scientist,1
No,1,335,1,Male,62,3,2,Research Scientist,4
No,1,336,3,Male,70,4,5,Manager,4
No,1,337,2,Male,73,3,3,Research Director,3
No,1,338,3,Female,63,2,1,Research Scientist,4
No,1,339,4,Male,84,2,2,Manufacturing Director,1
No,1,340,3,Female,83,2,1,Research Scientist,1
No,1,341,1,Male,77,4,2,Manufacturing Director,3
Yes,1,342,1,Male,61,3,3,Manufacturing Director,3
No,1,343,3,Female,64,3,3,Healthcare Representative,3
No,1,346,3,Male,60,3,1,Research Scientist,4
No,1,347,4,Female,82,4,2,Research Scientist,1
No,1,349,4,Male,45,3,2,Sales Executive,4
No,1,350,1,Female,62,3,2,Manufacturing Director,3
No,1,351,4,Female,56,2,1,Laboratory Technician,1
No,1,352,1,Male,49,3,5,Research Director,3
No,1,353,3,Male,96,3,1,Research Scientist,4
Yes,1,355,3,Male,71,2,1,Laboratory Technician,2
No,1,359,2,Male,100,4,1,Laboratory Technician,2
No,1,361,4,Male,39,2,2,Sales Executive,4
No,1,362,4,Male,84,2,2,Laboratory Technician,1
No,1,363,3,Female,75,1,4,Manager,2
Yes,1,364,1,Male,79,3,1,Laboratory Technician,3
No,1,366,1,Male,78,2,2,Sales Executive,2
No,1,367,2,Male,64,2,2,Healthcare Representative,4
No,1,369,2,Male,85,4,2,Healthcare Representative,1
No,1,372,3,Male,79,3,4,Healthcare Representative,4
No,1,373,4,Male,47,3,1,Laboratory Technician,4
No,1,374,4,Male,81,3,5,Manager,1
Yes,1,376,1,Male,88,3,3,Manager,2
No,1,377,4,Male,94,3,1,Research Scientist,4
No,1,378,3,Male,98,3,2,Sales Executive,4
No,1,379,4,Male,100,2,1,Research Scientist,3
No,1,380,1,Female,80,3,3,Research Director,4
No,1,381,2,Female,71,4,3,Manager,2
No,1,382,1,Female,44,4,2,Sales Executive,1
No,1,384,3,Female,84,3,2,Manufacturing Director,2
No,1,385,1,Male,96,3,5,Research Director,2
No,1,386,3,Male,45,3,4,Research Director,3
No,1,387,2,Male,99,3,2,Sales Executive,3
No,1,388,2,Male,44,3,2,Sales Executive,4
No,1,389,2,Male,37,3,2,Laboratory Technician,4
No,1,390,1,Male,60,3,2,Healthcare Representative,1
No,1,391,4,Female,42,3,1,Research Scientist,4
Yes,1,392,4,Male,43,3,1,Laboratory Technician,3
No,1,393,4,Male,82,3,2,Healthcare Representative,4
Yes,1,394,1,Male,45,3,1,Laboratory Technician,2
No,1,395,4,Female,66,3,1,Research Scientist,4
No,1,396,3,Female,35,3,5,Research Director,1
No,1,397,3,Male,30,3,2,Research Scientist,2
No,1,399,4,Female,84,3,1,Sales Representative,2
Yes,1,401,4,Male,48,2,2,Sales Executive,4
No,1,403,2,Male,53,3,1,Research Scientist,4
No,1,404,3,Female,77,3,4,Sales Executive,2
Yes,1,405,3,Male,54,3,1,Laboratory Technician,3
No,1,406,3,Male,96,3,3,Sales Executive,2
No,1,407,3,Male,81,4,1,Laboratory Technician,4
No,1,408,4,Male,84,1,2,Manufacturing Director,2
No,1,410,4,Male,88,3,4,Manager,2
No,1,411,4,Female,69,2,1,Sales Representative,3
No,1,412,2,Male,68,4,2,Healthcare Representative,1
No,1,416,2,Male,100,4,2,Sales Executive,4
No,1,417,3,Male,48,4,3,Healthcare Representative,4
No,1,419,2,Female,47,3,2,Laboratory Technician,2
No,1,420,4,Male,91,2,2,Sales Executive,3
No,1,421,1,Female,81,2,3,Research Director,2
No,1,422,4,Male,32,1,2,Healthcare Representative,3
No,1,423,3,Male,86,3,1,Research Scientist,4
No,1,424,1,Male,62,2,2,Human Resources,1
No,1,425,1,Male,97,3,3,Laboratory Technician,1
No,1,426,3,Male,32,3,1,Research Scientist,4
No,1,428,4,Female,74,3,3,Manager,2
No,1,429,3,Male,99,3,4,Manager,1
No,1,430,3,Female,33,3,1,Laboratory Technician,4
No,1,431,3,Female,90,2,4,Healthcare Representative,3
Yes,1,433,3,Male,85,2,2,Research Scientist,2
No,1,434,3,Female,85,3,1,Research Scientist,2
No,1,436,3,Female,65,2,2,Sales Executive,2
No,1,437,4,Male,74,3,2,Sales Executive,3
No,1,438,4,Male,73,3,2,Sales Executive,4
No,1,439,1,Female,74,4,2,Research Scientist,4
Yes,1,440,1,Male,84,1,1,Research Scientist,4
No,1,441,4,Female,64,3,2,Research Scientist,4
No,1,442,3,Female,48,2,3,Manufacturing Director,3
No,1,444,3,Male,54,2,5,Manager,4
Yes,1,445,4,Female,41,3,2,Sales Executive,3
No,1,446,2,Male,46,2,2,Sales Executive,4
No,1,447,4,Male,42,3,5,Research Director,3
No,1,448,3,Female,82,2,2,Laboratory Technician,3
No,1,449,3,Male,73,3,2,Sales Executive,2
No,1,450,4,Female,31,3,2,Research Scientist,3
No,1,451,3,Female,43,3,3,Healthcare Representative,1
No,1,452,4,Male,75,3,2,Research Scientist,4
No,1,453,2,Male,57,1,2,Sales Executive,4
Yes,1,454,2,Male,77,1,1,Laboratory Technician,1
No,1,455,2,Male,30,2,1,Laboratory Technician,4
No,1,456,4,Female,30,2,2,Sales Executive,3
No,1,458,2,Female,56,3,2,Sales Executive,2
No,1,460,4,Male,61,3,2,Manufacturing Director,4
No,1,461,3,Male,92,2,3,Research Director,4
No,1,462,3,Female,39,3,3,Manufacturing Director,4
No,1,463,4,Female,39,2,2,Sales Executive,2
No,1,464,3,Male,62,3,3,Manufacturing Director,2
No,1,465,3,Male,83,3,1,Research Scientist,4
No,1,466,4,Male,95,2,2,Manufacturing Director,2
No,1,467,2,Male,99,3,2,Sales Representative,3
No,1,468,1,Female,44,3,4,Research Director,4
No,1,469,4,Male,61,3,2,Sales Executive,3
No,1,470,3,Male,52,3,1,Human Resources,3
No,1,471,3,Female,75,3,1,Laboratory Technician,2
No,1,473,1,Female,91,3,3,Manager,3
No,1,474,3,Male,51,4,2,Research Scientist,1
No,1,475,4,Female,85,3,2,Sales Executive,3
No,1,476,3,Male,57,3,2,Sales Executive,3
No,1,477,1,Male,98,2,2,Healthcare Representative,4
Yes,1,478,1,Female,99,2,1,Sales Representative,2
No,1,479,4,Female,45,3,2,Sales Executive,4
No,1,481,1,Male,48,2,3,Sales Executive,4
No,1,482,4,Male,88,3,2,Healthcare Representative,3
No,1,483,4,Female,46,4,1,Laboratory Technician,3
No,1,484,1,Male,39,3,1,Sales Representative,4
Yes,1,485,4,Female,34,3,1,Sales Representative,3
No,1,486,3,Female,98,3,1,Laboratory Technician,1
No,1,487,3,Female,30,3,2,Manufacturing Director,3
Yes,1,488,1,Male,56,3,2,Sales Executive,2
No,1,491,4,Male,100,2,3,Healthcare Representative,4
Yes,1,492,3,Male,68,2,2,Sales Executive,3
No,1,493,3,Male,42,2,1,Research Scientist,2
Yes,1,494,3,Female,90,4,1,Sales Representative,2
No,1,495,4,Male,54,3,1,Research Scientist,4
No,1,496,3,Male,97,2,2,Healthcare Representative,2
No,1,497,4,Male,82,3,1,Laboratory Technician,2
No,1,498,2,Male,92,3,2,Sales Executive,4
No,1,499,2,Male,31,2,3,Healthcare Representative,3
No,1,500,3,Female,87,3,2,Sales Executive,4
No,1,501,4,Female,96,3,1,Research Scientist,3
Yes,1,502,1,Male,67,4,2,Sales Executive,4
No,1,505,3,Female,97,3,4,Manager,4
No,1,507,4,Female,77,3,2,Sales Executive,3
No,1,508,3,Male,72,3,1,Sales Representative,2
Yes,1,510,3,Male,73,3,1,Research Scientist,1
No,1,511,1,Female,43,3,1,Research Scientist,2
No,1,513,2,Male,61,2,3,Sales Executive,3
Yes,1,514,3,Male,40,3,1,Research Scientist,4
No,1,515,4,Female,95,3,1,Laboratory Technician,1
No,1,516,4,Female,46,3,2,Sales Executive,2
No,1,517,2,Female,95,3,1,Laboratory Technician,1
No,1,518,3,Male,49,3,2,Manufacturing Director,2
No,1,520,1,Male,59,2,4,Research Director,2
No,1,521,2,Female,78,2,2,Laboratory Technician,3
No,1,522,1,Male,86,3,5,Research Director,1
No,1,523,3,Female,72,3,2,Sales Executive,3
No,1,524,2,Female,31,3,2,Manufacturing Director,1
No,1,525,4,Male,61,3,1,Laboratory Technician,4
No,1,526,3,Female,74,3,2,Healthcare Representative,3
No,1,527,2,Female,99,2,2,Sales Executive,4
No,1,529,2,Female,72,3,2,Research Scientist,3
No,1,530,4,Male,98,2,1,Laboratory Technician,1
No,1,531,2,Male,52,3,5,Manager,3
No,1,532,3,Female,86,4,4,Sales Executive,1
No,1,533,2,Female,83,3,2,Sales Executive,3
No,1,534,2,Male,49,4,3,Sales Executive,1
No,1,536,3,Male,79,3,2,Laboratory Technician,1
Yes,1,538,1,Male,91,3,1,Laboratory Technician,1
No,1,543,4,Male,39,2,3,Manufacturing Director,3
No,1,544,1,Male,69,3,1,Research Scientist,4
No,1,546,4,Female,30,3,4,Manager,4
No,1,547,1,Female,92,3,2,Research Scientist,3
No,1,548,3,Female,43,1,2,Manufacturing Director,4
No,1,549,1,Female,41,3,5,Manager,1
No,1,550,3,Female,87,3,2,Manufacturing Director,3
No,1,551,4,Female,88,2,2,Healthcare Representative,4
Yes,1,554,1,Female,62,3,1,Sales Representative,2
Yes,1,555,4,Female,33,1,1,Sales Representative,3
No,1,556,4,Male,42,3,1,Laboratory Technician,4
No,1,558,3,Female,79,3,5,Manager,3
No,1,560,1,Female,90,3,1,Research Scientist,4
No,1,562,3,Male,53,3,1,Laboratory Technician,4
No,1,564,2,Male,93,2,3,Research Director,3
Yes,1,565,3,Female,71,2,1,Research Scientist,2
Yes,1,566,1,Male,52,2,1,Human Resources,4
No,1,567,3,Female,69,3,3,Sales Executive,1
No,1,568,1,Male,56,2,4,Manager,4
No,1,569,2,Male,88,2,4,Manager,3
No,1,571,3,Female,49,3,1,Laboratory Technician,4
No,1,573,3,Female,80,2,3,Sales Executive,1
No,1,574,1,Female,65,3,2,Manufacturing Director,4
No,1,575,1,Male,51,3,4,Research Director,3
No,1,577,4,Male,46,1,1,Laboratory Technician,3
No,1,578,3,Female,42,3,2,Laboratory Technician,3
No,1,579,4,Male,62,2,1,Research Scientist,3
No,1,580,3,Female,94,2,3,Sales Executive,4
No,1,581,3,Male,33,3,3,Manufacturing Director,2
Yes,1,582,2,Male,56,3,3,Manager,3
Yes,1,584,1,Male,38,1,1,Laboratory Technician,4
No,1,585,4,Male,57,3,1,Sales Representative,2
No,1,586,4,Male,72,3,3,Healthcare Representative,3
Yes,1,587,1,Male,66,3,3,Healthcare Representative,3
Yes,1,590,2,Female,43,3,3,Human Resources,1
No,1,591,2,Male,97,3,1,Laboratory Technician,3
No,1,592,2,Male,32,3,3,Sales Executive,4
Yes,1,593,3,Male,99,2,1,Laboratory Technician,3
No,1,595,2,Female,37,3,2,Sales Executive,4
No,1,597,1,Female,83,3,4,Manager,2
No,1,599,4,Male,56,3,2,Sales Executive,4
No,1,600,2,Male,85,3,2,Sales Executive,3
No,1,601,2,Female,75,3,4,Manufacturing Director,3
No,1,602,3,Female,48,3,1,Laboratory Technician,3
No,1,604,2,Male,77,3,2,Sales Executive,4
No,1,605,4,Male,56,3,3,Manufacturing Director,1
No,1,606,4,Male,61,3,2,Sales Executive,2
Yes,1,608,2,Female,58,3,1,Human Resources,3
No,1,611,4,Male,34,3,2,Manufacturing Director,4
No,1,612,1,Female,95,4,4,Research Director,3
No,1,613,3,Male,44,2,3,Manager,4
Yes,1,614,2,Male,69,3,1,Sales Representative,2
No,1,615,3,Male,58,1,3,Sales Executive,1
No,1,616,1,Female,62,2,2,Healthcare Representative,3
No,1,618,1,Male,45,3,2,Sales Executive,3
No,1,620,1,Female,80,3,2,Sales Executive,3
No,1,621,4,Male,74,4,2,Sales Executive,4
Yes,1,622,3,Male,66,1,1,Laboratory Technician,4
No,1,623,2,Female,59,3,3,Manufacturing Director,4
No,1,624,1,Female,86,3,3,Healthcare Representative,3
No,1,625,2,Female,91,3,4,Manager,1
No,1,626,1,Male,69,3,3,Sales Executive,2
No,1,630,4,Male,78,3,2,Research Scientist,1
Yes,1,631,4,Male,60,4,2,Sales Executive,3
No,1,632,4,Male,38,3,1,Sales Representative,4
No,1,634,3,Female,76,3,2,Healthcare Representative,3
No,1,635,2,Female,65,3,2,Manufacturing Director,2
No,1,638,4,Male,58,2,5,Research Director,3
No,1,639,2,Male,89,4,1,Research Scientist,4
No,1,641,1,Male,66,3,2,Sales Executive,2
No,1,643,4,Male,94,2,1,Laboratory Technician,2
No,1,644,1,Male,99,3,5,Manager,2
No,1,645,2,Male,40,3,1,Sales Representative,3
Yes,1,647,1,Female,55,3,1,Laboratory Technician,3
Yes,1,648,2,Male,74,2,1,Sales Representative,1
No,1,649,2,Male,83,2,1,Research Scientist,4
Yes,1,650,2,Male,46,3,2,Sales Executive,1
No,1,652,1,Male,54,2,2,Laboratory Technician,4
No,1,653,1,Male,66,4,2,Sales Executive,4
No,1,655,1,Female,66,2,1,Research Scientist,3
No,1,656,4,Male,75,3,2,Sales Executive,3
No,1,657,4,Female,83,2,1,Research Scientist,2
No,1,659,3,Female,81,3,2,Healthcare Representative,4
No,1,661,2,Male,50,2,4,Research Director,4
No,1,662,3,Female,43,3,1,Research Scientist,1
No,1,663,4,Male,72,3,2,Laboratory Technician,3
No,1,664,4,Female,40,2,4,Manager,1
No,1,665,1,Female,50,2,2,Human Resources,3
No,1,666,3,Female,31,3,1,Sales Representative,3
Yes,1,667,3,Male,85,3,1,Sales Representative,1
No,1,669,3,Male,49,3,1,Sales Representative,3
No,1,671,4,Male,35,3,5,Manager,4
No,1,675,1,Male,69,3,1,Research Scientist,3
No,1,677,3,Male,39,3,2,Sales Executive,3
No,1,679,1,Female,92,3,2,Research Scientist,4
No,1,680,3,Female,71,3,1,Research Scientist,3
No,1,682,4,Female,34,3,2,Sales Executive,1
No,1,683,2,Male,42,3,1,Research Scientist,4
Yes,1,684,1,Female,100,3,2,Sales Executive,1
No,1,686,3,Female,71,3,1,Laboratory Technician,4
No,1,689,3,Male,36,3,3,Manufacturing Director,3
No,1,690,2,Female,62,3,2,Sales Executive,3
No,1,691,2,Male,82,1,2,Research Scientist,4
No,1,692,3,Male,30,3,2,Healthcare Representative,4
No,1,698,3,Male,88,3,3,Human Resources,2
No,1,699,2,Male,48,2,2,Manufacturing Director,2
No,1,700,1,Male,54,2,1,Research Scientist,4
Yes,1,701,4,Male,32,3,1,Research Scientist,3
Yes,1,702,1,Male,70,3,1,Research Scientist,1
No,1,704,3,Male,41,2,1,Laboratory Technician,3
No,1,705,1,Male,58,4,1,Research Scientist,1
No,1,707,4,Male,57,4,2,Sales Executive,2
No,1,709,4,Female,46,2,2,Sales Executive,4
