Attrition,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,80,3,17,2,3,17,14,12,8
No,80,3,21,2,3,5,0,0,2
No,80,0,6,3,3,6,5,0,3
No,80,1,25,2,3,1,0,0,0
No,80,1,5,2,2,3,2,1,2
Yes,80,1,2,0,2,1,0,0,0
No,80,0,20,2,2,4,3,1,3
No,80,1,6,3,3,5,4,0,4
No,80,0,1,4,3,1,1,1,0
No,80,2,10,3,3,10,4,0,9
No,80,0,5,3,3,1,0,0,0
No,80,0,11,2,3,11,7,1,8
No,80,0,16,2,3,15,13,2,8
No,80,0,17,3,4,0,0,0,0
No,80,0,16,3,4,5,2,0,2
No,80,1,16,2,3,4,2,0,2
No,80,2,10,1,2,10,8,3,0
No,80,0,6,3,3,6,4,0,4
No,80,1,24,4,3,1,0,1,0
No,80,3,17,3,3,13,11,1,9
No,80,0,5,2,3,5,2,1,3
No,80,0,37,3,2,6,4,0,2
No,80,1,3,3,3,0,0,0,0
No,80,2,10,4,3,4,2,0,3
No,80,3,11,3,3,11,10,10,8
Yes,80,0,9,3,3,9,8,4,7
No,80,1,22,3,2,22,3,11,11
No,80,0,11,2,1,10,7,1,0
No,80,3,11,4,2,11,8,2,7
No,80,1,21,5,2,10,9,9,5
No,80,0,12,0,3,11,8,5,7
No,80,1,16,5,1,4,3,0,3
No,80,1,4,2,2,3,2,0,2
No,80,0,5,3,4,5,4,0,4
No,80,0,38,1,2,37,10,1,8
No,80,1,17,3,4,3,2,1,2
Yes,80,0,7,3,3,3,2,0,2
No,80,0,1,2,3,1,0,0,0
Yes,80,0,1,5,3,1,0,1,0
No,80,0,16,3,3,16,13,2,10
No,80,1,17,2,4,1,0,0,0
No,80,1,30,3,3,3,2,2,2
No,80,0,28,1,2,8,3,0,7
Yes,80,0,6,1,3,6,4,0,3
No,80,2,2,2,3,2,2,2,1
No,80,0,1,5,3,0,0,0,0
No,80,0,23,1,2,13,12,12,8
Yes,80,0,9,3,3,9,7,0,6
No,80,0,23,3,3,5,3,4,4
No,80,1,6,2,3,5,3,1,2
No,80,1,12,3,3,1,0,0,0
No,80,0,12,3,3,5,3,1,3
No,80,0,14,6,3,11,10,5,8
No,80,1,10,6,3,9,7,2,8
No,80,1,7,2,3,1,0,0,0
No,80,2,25,3,4,25,12,4,12
No,80,3,10,2,2,10,7,0,9
No,80,1,8,2,4,7,7,0,7
Yes,80,3,7,2,3,5,4,4,3
No,80,0,23,5,3,20,18,15,15
Yes,80,0,12,3,2,7,7,7,7
No,80,0,5,3,2,5,4,4,3
Yes,80,1,40,3,2,40,10,15,6
Yes,80,0,0,2,2,0,0,0,0
No,80,1,3,2,3,2,1,2,1
No,80,0,16,2,2,15,11,5,11
No,80,0,18,2,3,3,2,1,2
No,80,0,16,3,3,2,2,2,1
Yes,80,1,4,2,3,2,2,2,2
No,80,1,12,2,3,9,7,0,7
No,80,1,8,3,3,8,7,5,7
No,80,2,7,0,3,3,2,0,1
Yes,80,0,18,2,3,4,2,0,3
No,80,1,17,1,4,15,11,5,9
No,80,0,6,3,3,2,2,2,2
No,80,0,12,2,1,11,9,4,7
Yes,80,0,10,2,4,5,4,0,4
No,80,0,9,2,2,6,5,0,3
No,80,0,19,2,3,3,2,2,2
No,80,0,5,4,2,5,4,0,4
No,80,3,9,2,4,8,7,0,7
No,80,1,8,3,3,3,2,2,2
No,80,0,6,3,3,5,3,1,2
No,80,1,21,2,2,7,6,7,7
No,80,1,7,2,3,5,0,1,4
No,80,0,1,3,3,1,0,0,0
No,80,1,20,2,3,20,7,2,13
No,80,2,10,3,3,10,8,0,6
No,80,1,13,3,1,7,7,4,5
No,80,1,20,2,1,17,9,0,15
No,80,0,9,2,3,9,8,3,7
No,80,1,10,1,3,10,7,0,9
No,80,0,10,2,3,1,0,0,0
No,80,1,9,3,2,1,0,0,0
No,80,1,15,2,2,12,11,2,11
No,80,1,6,3,3,4,3,1,2
No,80,2,2,6,3,2,2,2,2
No,80,1,6,1,1,2,2,2,2
No,80,1,5,2,1,5,2,0,2
No,80,1,12,2,1,5,3,1,4
No,80,1,1,2,2,1,1,0,1
No,80,0,21,5,3,5,4,4,4
No,80,1,13,2,3,9,8,1,8
No,80,1,12,2,3,10,9,7,4
No,80,0,12,2,4,8,3,0,7
No,80,0,8,2,3,5,4,1,4
No,80,1,6,3,2,5,2,1,1
Yes,80,0,1,5,4,0,0,0,0
No,80,0,13,3,2,8,7,7,2
No,80,2,12,4,3,12,9,6,10
No,80,1,9,3,4,5,4,0,3
No,80,1,19,3,3,2,2,2,2
No,80,0,4,2,4,3,1,0,2
Yes,80,0,1,3,2,1,0,1,0
No,80,3,24,2,3,24,13,15,7
No,80,0,2,3,3,2,2,2,1
No,80,1,7,0,3,4,2,0,2
No,80,0,9,3,3,3,2,1,2
Yes,80,0,4,5,2,4,3,0,2
No,80,1,5,2,2,3,2,0,2
No,80,2,5,3,3,4,2,1,3
No,80,1,8,5,3,8,7,1,6
No,80,1,21,2,3,20,8,9,9
No,80,0,36,3,3,24,15,2,15
No,80,0,10,2,2,10,9,1,9
No,80,0,21,6,3,7,7,1,0
No,80,1,34,5,3,33,18,11,9
No,80,0,7,2,2,7,7,0,3
Yes,80,0,8,1,3,1,0,0,1
No,80,3,7,3,4,5,4,2,2
No,80,1,22,1,3,20,8,11,8
No,80,1,8,3,2,8,7,1,7
No,80,0,10,5,3,6,2,1,2
No,80,1,11,5,3,5,3,0,2
No,80,0,14,3,3,1,0,0,0
No,80,1,9,3,1,7,7,1,7
No,80,1,6,1,3,2,2,2,0
No,80,2,7,0,3,7,7,1,7
No,80,1,5,4,4,5,3,2,0
No,80,1,15,2,4,7,2,3,7
Yes,80,0,17,2,3,1,0,0,0
Yes,80,3,10,3,2,10,4,1,9
No,80,1,4,2,2,4,2,2,2
No,80,0,8,2,3,8,1,1,7
No,80,1,5,5,1,3,2,0,2
No,80,1,17,3,3,4,2,0,3
Yes,80,0,14,2,2,14,8,9,8
No,80,0,12,2,3,11,8,5,8
No,80,0,7,2,3,7,7,0,7
No,80,2,16,5,1,10,9,4,7
Yes,80,0,8,5,3,5,2,0,4
No,80,0,16,3,3,1,0,0,0
Yes,80,0,9,5,2,6,3,0,1
Yes,80,0,7,1,2,6,2,1,5
No,80,0,23,2,3,19,7,12,8
No,80,1,16,4,3,6,2,0,5
No,80,0,16,3,4,13,11,3,7
No,80,0,7,3,3,3,2,1,1
No,80,3,10,1,3,10,8,0,7
No,80,2,17,6,2,16,10,5,13
No,80,1,6,2,3,5,4,1,4
No,80,1,7,6,3,1,0,0,0
No,80,1,13,2,3,9,8,5,8
No,80,1,11,5,3,11,10,4,1
No,80,0,10,3,4,10,7,0,8
Yes,80,0,4,3,2,4,3,0,1
No,80,0,6,3,2,2,2,2,2
No,80,0,22,3,3,22,17,11,15
No,80,0,7,2,2,2,2,2,2
No,80,1,32,3,2,7,0,0,6
Yes,80,1,8,2,1,5,4,0,4
No,80,1,22,3,3,17,13,1,9
Yes,80,0,13,3,4,9,7,1,7
No,80,0,33,2,4,33,7,15,12
No,80,1,6,5,3,4,3,1,2
Yes,80,0,4,2,1,3,2,1,2
No,80,3,7,1,3,3,2,1,2
No,80,0,4,2,3,3,2,2,2
No,80,2,17,2,2,1,0,0,0
No,80,2,9,3,3,9,8,4,7
No,80,1,25,2,3,24,0,1,7
No,80,1,9,3,3,2,2,2,2
No,80,1,2,2,2,2,2,0,2
No,80,1,13,3,3,11,9,5,9
No,80,1,17,2,2,3,1,0,2
No,80,1,9,1,3,3,2,0,2
Yes,80,2,17,5,3,1,0,0,0
No,80,0,20,1,3,19,6,11,8
No,80,0,6,1,3,6,5,1,5
No,80,0,10,1,3,3,2,0,2
No,80,1,10,2,3,3,2,0,2
No,80,2,5,3,3,4,2,1,2
No,80,1,10,4,3,9,6,7,8
No,80,1,22,5,3,21,7,3,9
No,80,0,1,0,2,1,0,0,0
Yes,80,0,6,2,4,5,4,1,4
No,80,0,5,3,1,5,1,0,3
No,80,1,13,0,3,8,7,7,5
No,80,0,9,5,3,6,2,0,4
No,80,1,28,2,2,7,7,7,7
Yes,80,0,5,5,1,0,0,0,0
No,80,2,10,2,3,0,0,0,0
No,80,1,10,2,3,9,0,7,8
No,80,2,6,2,3,6,3,1,5
No,80,0,21,2,3,20,7,4,10
No,80,1,16,4,3,15,13,10,11
No,80,0,37,2,3,36,10,4,13
Yes,80,1,10,2,2,10,7,9,9
No,80,1,5,3,2,5,2,0,4
No,80,1,7,5,4,5,4,0,1
No,80,0,3,4,4,3,2,1,0
No,80,2,15,2,3,5,2,0,2
No,80,1,10,6,2,7,7,6,2
No,80,1,8,3,3,8,0,7,7
No,80,1,6,6,1,6,5,1,4
No,80,2,28,4,2,10,4,1,6
No,80,3,21,5,2,5,3,1,3
No,80,0,20,3,3,20,16,11,6
No,80,0,10,3,2,10,7,0,9
No,80,1,12,4,3,10,7,0,8
No,80,1,5,3,3,5,3,3,3
No,80,0,17,3,3,17,12,5,7
Yes,80,1,19,0,1,1,0,0,0
No,80,1,10,2,3,2,2,1,2
Yes,80,1,5,2,3,3,2,0,2
No,80,0,5,3,3,5,3,0,2
No,80,0,22,4,3,3,2,1,2
No,80,0,10,2,3,8,0,7,7
No,80,1,2,5,2,2,2,2,2
Yes,80,0,8,0,3,8,7,7,4
No,80,3,4,3,2,4,2,1,2
No,80,1,23,2,4,20,4,4,8
Yes,80,0,0,2,3,0,0,0,0
No,80,2,12,3,2,11,9,6,9
No,80,2,4,2,3,1,0,0,0
No,80,1,13,3,3,4,1,1,2
No,80,0,22,2,3,22,10,0,4
No,80,0,0,2,3,0,0,0,0
No,80,0,9,2,3,8,3,0,7
No,80,1,10,3,2,8,7,7,7
No,80,3,19,5,2,18,10,3,7
No,80,1,11,3,3,9,8,0,8
No,80,1,13,3,2,13,8,4,8
No,80,1,19,2,3,10,8,0,1
No,80,1,12,2,3,5,3,1,2
No,80,1,6,4,3,5,2,0,3
No,80,0,9,1,3,2,2,1,0
No,80,1,24,2,3,24,9,9,11
No,80,1,3,2,1,2,2,2,2
No,80,2,12,2,3,10,6,8,8
No,80,0,21,3,3,21,9,11,10
No,80,0,9,5,3,8,7,1,7
No,80,0,25,2,3,7,1,0,7
Yes,80,0,11,3,2,8,2,7,7
No,80,0,4,2,2,4,3,1,2
No,80,0,13,2,3,13,12,11,9
No,80,0,5,3,3,5,4,0,4
No,80,3,13,3,3,7,7,1,7
No,80,0,10,0,2,7,7,0,7
Yes,80,0,5,4,2,3,2,2,2
No,80,2,11,2,3,10,8,1,9
No,80,1,10,2,3,10,9,8,9
No,80,1,21,2,3,21,9,13,3
Yes,80,0,12,3,2,1,0,0,0
No,80,0,9,6,2,7,7,0,1
No,80,1,21,2,3,3,2,1,1
No,80,1,9,3,4,9,7,0,0
No,80,1,6,0,3,5,4,1,4
No,80,0,20,4,2,4,3,0,3
No,80,1,10,1,2,1,0,0,0
No,80,2,12,3,3,10,9,9,8
No,80,3,6,2,2,4,3,0,2
Yes,80,0,7,4,2,7,7,0,7
No,80,0,4,2,3,3,2,2,2
No,80,3,10,2,3,10,9,1,2
No,80,1,8,3,3,8,7,0,7
No,80,2,8,2,2,6,2,0,4
No,80,1,12,3,3,11,10,2,9
No,80,0,11,2,2,11,9,4,10
No,80,2,7,2,3,7,7,1,7
No,80,0,17,5,3,16,6,0,13
No,80,2,4,2,2,4,2,0,2
No,80,0,8,3,3,5,4,1,2
No,80,0,5,3,3,0,0,0,0
No,80,0,16,2,3,1,0,0,0
No,80,1,4,3,2,4,3,0,2
No,80,1,4,5,3,3,2,1,0
No,80,1,8,4,3,8,0,0,7
No,80,1,15,3,1,0,0,0,0
No,80,2,13,2,3,7,7,6,7
No,80,1,4,2,4,2,2,2,2
No,80,1,8,3,3,8,7,7,7
No,80,0,14,6,3,1,0,0,0
Yes,80,0,3,3,3,3,2,1,2
No,80,0,7,6,3,1,0,0,0
No,80,1,16,2,3,13,9,1,12
No,80,0,15,2,3,3,2,1,2
No,80,1,10,3,3,7,7,1,7
No,80,0,3,3,2,3,2,2,2
Yes,80,0,1,2,3,1,0,0,0
No,80,1,17,3,3,5,4,0,3
No,80,0,7,2,4,1,0,0,0
Yes,80,0,8,5,3,8,7,7,7
No,80,0,20,2,3,4,3,1,3
Yes,80,2,8,6,3,6,4,1,0
No,80,0,3,5,3,2,2,2,2
Yes,80,0,1,0,3,1,0,0,0
No,80,0,6,4,3,3,2,1,2
No,80,0,10,5,3,1,1,0,0
No,80,1,5,2,3,5,2,0,4
No,80,0,7,1,3,7,5,0,7
No,80,0,26,2,3,5,2,0,0
No,80,1,18,2,2,7,7,0,7
No,80,1,6,3,3,2,2,2,2
Yes,80,0,9,3,2,5,2,0,4
No,80,0,30,2,3,5,4,1,2
No,80,1,5,2,4,5,2,0,3
No,80,1,1,3,3,1,0,0,0
Yes,80,0,7,2,3,6,4,0,4
No,80,1,2,1,3,2,1,1,2
No,80,2,10,2,3,10,9,9,0
Yes,80,0,3,4,3,1,0,0,0
No,80,1,18,2,2,18,7,12,17
No,80,2,8,5,3,5,4,1,3
No,80,1,8,5,3,5,2,1,2
No,80,0,18,2,2,1,0,0,1
No,80,1,25,3,3,25,10,3,9
No,80,1,20,3,3,1,0,0,0
No,80,1,24,4,2,4,2,1,2
No,80,1,6,3,3,3,2,1,2
No,80,1,13,5,1,13,10,3,12
No,80,1,8,1,3,3,2,1,2
No,80,0,8,3,3,5,2,0,2
No,80,0,5,3,3,5,4,1,3
No,80,2,15,2,3,13,11,10,7
No,80,1,4,3,3,4,2,3,2
No,80,1,21,3,3,21,8,1,6
No,80,3,36,0,2,7,7,7,7
No,80,0,6,6,3,5,4,4,4
No,80,1,10,2,3,10,7,0,7
No,80,1,10,2,3,10,0,1,8
Yes,80,1,6,5,3,2,2,0,2
No,80,0,28,4,3,5,4,0,4
No,80,2,8,3,2,2,2,0,2
No,80,0,31,2,1,5,2,1,4
No,80,1,19,3,3,5,4,0,2
No,80,0,11,2,3,5,4,0,2
No,80,0,33,5,1,29,8,11,10
No,80,1,19,5,2,10,7,0,8
No,80,3,7,4,4,6,5,0,4
Yes,80,0,6,4,3,5,3,1,4
Yes,80,1,3,3,2,2,2,1,0
No,80,1,1,3,3,1,0,0,0
No,80,0,21,2,3,20,15,1,12
No,80,2,3,3,1,3,2,0,2
No,80,1,9,3,1,5,3,1,4
No,80,0,10,2,3,10,2,0,7
Yes,80,0,6,2,4,2,2,1,1
Yes,80,0,1,3,4,1,0,0,0
No,80,0,10,3,3,9,8,7,8
No,80,1,32,3,2,1,0,0,0
No,80,1,28,2,3,27,10,15,7
No,80,0,12,2,2,11,7,6,7
No,80,0,22,5,4,18,13,13,11
No,80,3,20,2,3,5,0,0,4
No,80,0,26,2,1,3,2,0,1
No,80,0,6,2,3,5,4,4,3
No,80,0,19,3,3,1,0,0,0
No,80,1,14,3,3,7,3,5,7
No,80,1,15,3,3,3,2,1,2
No,80,1,13,6,4,13,8,0,8
Yes,80,0,15,2,4,7,6,7,7
Yes,80,3,8,2,3,4,3,1,3
No,80,0,4,3,3,3,2,1,2
No,80,0,10,2,3,8,7,0,0
Yes,80,0,12,2,3,1,0,0,0
Yes,80,3,11,2,3,3,2,0,2
No,80,1,8,4,3,2,2,2,0
No,80,0,10,3,2,10,3,9,7
Yes,80,0,4,3,3,2,2,1,2
No,80,1,14,2,3,9,7,6,7
No,80,0,37,2,3,10,9,7,7
No,80,0,16,3,3,14,3,1,10
No,80,0,15,2,3,11,9,6,9
No,80,0,22,3,3,20,6,5,13
No,80,1,8,3,3,8,3,0,7
No,80,0,10,2,4,6,5,0,5
No,80,1,10,5,2,10,9,5,8
No,80,1,9,3,4,8,7,3,7
Yes,80,1,8,2,2,7,7,1,0
No,80,2,8,2,4,3,2,1,2
No,80,1,10,2,3,6,1,0,5
No,80,1,10,3,2,5,4,0,1
Yes,80,0,0,3,3,0,0,0,0
No,80,1,20,2,3,1,0,0,1
No,80,0,10,3,3,8,7,0,7
No,80,2,8,5,3,0,0,0,0
No,80,0,5,3,3,5,4,0,3
No,80,0,10,3,3,10,7,5,7
Yes,80,0,1,3,1,1,0,0,0
No,80,0,12,3,4,6,5,1,2
No,80,0,28,3,2,2,2,1,2
No,80,1,22,2,3,18,16,11,8
No,80,1,9,6,3,9,5,7,7
No,80,2,18,3,3,10,9,6,9
Yes,80,0,6,2,3,4,2,1,2
No,80,2,3,3,3,2,2,2,1
No,80,1,18,4,3,1,0,0,0
No,80,1,8,2,2,6,5,4,3
No,80,1,31,5,3,31,9,0,9
No,80,2,6,3,3,6,5,1,4
No,80,2,6,5,4,5,3,1,4
No,80,1,1,2,3,1,0,0,0
No,80,1,32,2,3,32,5,10,7
No,80,0,7,1,3,7,4,0,6
Yes,80,1,6,4,3,6,3,1,2
Yes,80,1,1,2,4,1,0,0,0
No,80,1,6,3,3,6,5,1,3
Yes,80,0,9,2,1,3,1,1,2
No,80,0,9,3,3,3,2,0,2
No,80,2,13,4,4,7,7,5,7
No,80,2,6,5,2,5,3,0,3
No,80,1,17,3,2,3,0,1,0
No,80,0,1,0,4,1,0,0,0
No,80,2,10,4,3,10,2,2,2
No,80,1,21,3,2,1,0,0,0
No,80,0,8,3,2,0,0,0,0
No,80,1,10,3,3,8,7,4,7
No,80,1,21,3,1,3,2,0,2
No,80,0,10,1,4,2,2,0,2
No,80,2,8,3,3,8,2,0,6
Yes,80,1,5,3,3,4,3,0,2
No,80,0,3,2,3,3,2,1,2
No,80,1,26,2,4,2,2,0,1
No,80,0,3,3,3,2,2,2,2
No,80,0,6,3,3,5,0,1,2
No,80,1,6,2,2,6,4,0,5
No,80,1,1,2,3,1,0,0,0
No,80,0,18,2,4,14,7,8,10
No,80,1,10,4,2,10,9,8,8
Yes,80,2,5,4,3,1,1,0,0
No,80,1,3,2,3,3,2,0,2
No,80,1,10,2,3,10,7,7,8
No,80,1,6,5,2,6,0,1,2
No,80,0,17,3,3,17,11,11,8
No,80,1,15,2,1,13,11,4,7
No,80,1,16,1,4,9,7,7,1
No,80,1,13,2,3,3,2,0,2
No,80,0,5,0,3,4,2,1,1
Yes,80,0,1,5,3,1,0,1,1
Yes,80,0,10,3,3,10,8,9,7
No,80,2,1,3,3,1,0,0,0
No,80,1,5,3,4,3,2,0,2
No,80,1,4,4,3,3,2,1,2
No,80,0,8,2,3,7,7,0,5
No,80,1,10,5,3,10,7,2,8
No,80,0,12,3,3,2,2,2,2
No,80,2,6,3,3,6,5,0,4
No,80,0,4,2,3,1,0,0,0
No,80,3,20,3,3,20,8,3,8
No,80,0,9,3,4,8,7,7,7
Yes,80,0,4,3,3,2,2,2,0
No,80,0,20,4,3,20,7,11,10
No,80,0,10,2,2,10,7,0,8
Yes,80,1,18,4,3,4,3,1,3
No,80,0,10,4,2,9,7,1,8
No,80,0,9,3,3,9,7,0,7
No,80,0,10,6,3,7,7,7,7
No,80,0,20,2,3,7,7,1,7
No,80,1,20,2,3,18,13,1,12
No,80,0,32,3,3,5,1,1,3
No,80,3,23,2,2,21,6,12,6
No,80,0,10,1,3,2,2,2,2
No,80,2,9,4,2,9,7,1,7
No,80,1,22,3,3,22,7,2,10
No,80,1,4,2,3,2,2,2,2
Yes,80,0,10,4,3,7,7,3,7
No,80,1,10,2,3,8,7,0,5
No,80,0,10,4,4,1,0,0,0
No,80,0,9,5,3,5,2,1,4
No,80,2,28,2,2,22,2,11,13
No,80,1,10,2,2,8,7,7,7
No,80,0,1,6,3,1,0,0,0
Yes,80,0,7,2,3,2,2,2,2
No,80,1,7,5,3,2,2,2,2
No,80,0,10,2,3,5,1,4,3
No,80,1,5,2,4,4,3,0,2
No,80,1,12,3,1,8,3,3,6
No,80,0,30,1,2,10,7,1,1
No,80,0,5,2,2,4,2,2,3
No,80,0,9,2,1,7,6,0,7
No,80,2,2,2,3,2,2,2,2
No,80,0,19,4,3,2,2,2,2
No,80,1,16,2,4,1,0,0,0
No,80,2,10,2,3,10,8,4,7
No,80,1,6,0,1,1,0,0,1
No,80,1,7,3,3,0,0,0,0
No,80,0,34,3,4,34,6,1,16
Yes,80,0,10,2,2,10,9,7,8
No,80,0,6,5,2,6,5,1,4
No,80,0,9,3,3,8,7,3,1
No,80,0,2,3,3,2,2,0,2
Yes,80,0,8,2,3,5,4,1,3
No,80,0,6,5,3,6,5,1,4
Yes,80,1,24,2,3,5,2,1,4
No,80,0,10,1,3,10,7,0,9
No,80,1,5,3,3,4,3,1,2
No,80,1,5,2,3,2,2,2,0
No,80,1,11,3,2,8,7,1,1
Yes,80,0,6,2,2,4,3,1,2
No,80,0,10,2,3,4,2,1,3
No,80,2,9,4,3,5,3,1,4
No,80,1,5,3,3,4,2,1,1
No,80,2,6,3,2,5,3,4,3
No,80,0,17,2,3,15,7,4,12
No,80,0,6,3,3,6,5,1,3
No,80,1,3,1,2,3,2,0,2
No,80,2,7,2,3,2,2,0,2
No,80,1,8,2,3,8,7,3,7
No,80,1,6,1,3,3,2,1,2
No,80,1,24,4,2,24,7,14,9
Yes,80,2,1,2,3,0,0,0,0
No,80,3,1,4,3,1,0,0,0
No,80,1,9,3,3,5,2,1,4
No,80,0,30,3,3,4,3,0,3
Yes,80,1,1,1,3,1,0,0,0
No,80,0,14,3,4,13,9,3,7
Yes,80,0,6,3,3,3,2,0,2
No,80,1,26,3,2,26,14,3,0
No,80,1,10,2,3,9,7,0,5
No,80,1,10,3,3,10,7,0,7
Yes,80,0,40,2,3,31,15,13,8
No,80,0,7,0,3,2,2,2,2
No,80,1,8,4,3,4,3,0,2
Yes,80,0,5,3,2,2,2,2,1
No,80,1,8,2,3,5,2,0,4
No,80,1,14,3,3,14,13,6,8
No,80,0,10,6,3,1,0,0,0
No,80,0,12,4,2,0,0,0,0
No,80,0,1,3,3,1,0,0,0
No,80,1,10,3,2,9,8,7,8
No,80,1,13,3,2,4,3,1,2
No,80,0,6,3,3,5,2,1,3
Yes,80,2,9,3,4,9,8,7,7
Yes,80,0,12,3,2,9,7,7,3
No,80,1,22,3,3,4,1,1,0
No,80,1,9,3,3,9,8,0,8
No,80,0,17,3,4,8,5,1,6
No,80,0,8,2,3,8,7,7,5
No,80,1,4,1,1,3,2,0,2
Yes,80,1,8,2,3,8,7,1,7
No,80,3,0,6,2,0,0,0,0
No,80,1,29,2,2,20,6,4,17
No,80,0,10,2,2,5,2,2,3
No,80,0,6,3,2,4,3,0,1
No,80,1,9,5,3,9,8,0,8
No,80,0,6,3,2,6,5,1,1
No,80,1,18,1,2,18,14,4,11
No,80,1,8,3,2,5,2,0,3
No,80,1,10,3,2,5,4,0,3
No,80,1,35,3,3,5,2,0,4
No,80,1,18,2,3,5,4,0,2
No,80,1,9,3,2,5,3,1,3
No,80,0,31,3,3,9,8,0,0
No,80,2,9,2,3,1,0,0,0
No,80,1,6,6,3,5,1,0,4
No,80,2,4,2,1,2,2,2,2
No,80,1,10,2,2,3,2,0,2
No,80,0,8,2,3,2,1,2,2
No,80,0,6,3,3,5,4,0,3
No,80,0,5,3,3,5,3,0,3
No,80,1,17,2,3,17,14,5,15
Yes,80,1,10,3,2,10,2,7,8
No,80,1,4,2,3,3,0,0,2
No,80,0,5,1,4,5,2,0,3
No,80,1,7,2,3,4,2,0,2
No,80,0,6,2,2,5,2,3,4
No,80,1,10,3,3,10,8,5,3
No,80,1,3,3,3,2,2,1,2
No,80,1,17,1,2,5,3,1,3
No,80,1,8,2,3,6,4,0,2
Yes,80,3,5,3,3,3,2,0,2
No,80,1,28,3,3,2,0,2,2
No,80,0,16,2,3,13,10,4,8
No,80,1,10,3,3,5,4,0,0
No,80,0,33,0,3,12,9,3,8
No,80,1,12,2,2,5,2,2,2
No,80,1,8,2,3,7,6,7,7
No,80,0,10,2,3,10,0,0,9
No,80,1,31,3,3,31,6,14,7
No,80,2,13,2,3,5,4,0,4
No,80,1,7,4,4,4,3,0,3
Yes,80,0,1,2,1,1,0,0,1
No,80,3,8,5,3,4,3,0,3
No,80,0,8,0,3,8,7,7,1
No,80,0,4,3,3,4,2,0,2
Yes,80,1,3,3,2,1,0,0,0
No,80,1,4,2,4,1,0,0,0
Yes,80,0,2,3,2,2,2,0,2
Yes,80,0,1,3,2,1,0,0,0
No,80,1,17,2,2,16,8,4,11
No,80,0,3,3,2,3,2,1,2
Yes,80,1,4,3,4,3,2,0,2
Yes,80,1,10,1,2,7,7,1,0
No,80,1,6,2,3,2,2,2,2
Yes,80,0,8,2,1,2,2,2,2
No,80,0,1,2,3,1,1,0,0
No,80,2,1,3,3,1,0,1,0
No,80,0,10,6,3,5,4,0,3
No,80,0,6,1,3,3,2,0,2
No,80,1,24,3,3,6,0,0,4
No,80,0,13,2,4,7,7,5,2
No,80,1,10,2,1,10,6,0,7
No,80,1,29,3,2,26,9,1,7
No,80,2,13,2,2,0,0,0,0
